id,reviewerName,hotelId,overallScore,reviewText,cleanlinessScore,comfortScore,serviceScore,foodScore,locationScore
292,Song S. ,1000000000000,6.0,"actually I'm disappointed with this hotel, first AC in the room is very noisy, second the location design of swimming pool is not proper making the water always very cold even in a find and sunshine day, third the house keeping always late response, when ",6.0,6.0,6.0,6.0,6.0
422,Phenni P. ,1000000000000,6.0,"Stay 2 people, only 1 slipper, only 1 toothbrush, friendly staff",6.0,6.0,6.0,6.0,6.0
466,Dwi P. H. S. ,1000000000000,6.0,Sound between rooms translucent. So noisy can not rest,6.0,6.0,6.0,6.0,6.0
522,David S. ,1000000000000,6.0,"14.00 check-in hours, we arrived at 17.00 4 out of 8 rooms not ready, even the last 2 rooms only got 6 pm. The explanation is because the air conditioner was damaged, but there was no prior confirmation.",8.0,6.0,6.0,6.0,6.0
772,Ary P. D. ,1000000000000,6.0,"The room amenities were ordered not appropriate, welcome drink and pizza can only drink his pizza just does not exist, receptionis unfriendly ..",6.0,6.0,6.0,6.0,6.0
815,Helly D. ,1000000000000,6.0,not recommend at all .. it's not hotel but hostel look like. I check out the next day though book for 3 nights very disappointed,6.0,6.0,6.0,6.0,6.0
853,Maria S. ,1000000000000,6.0,Air conditioner is not cold. It is not uncomfortable.,6.0,6.0,6.0,6.0,6.0
892,Dessy M. L. ,1000000000000,6.0,Unfriendly staff. No menu for room service. Calling in the morning for such unimportant matter. Unfriendly. Unfriendly,6.0,6.0,6.0,6.0,6.0
899,Elisbeth E. ,1000000000000,6.0,"Breakfast not proper ..out of stock, out of cups, spoon, fresh milk not good.

Towel was dirty
",6.0,6.0,6.0,6.0,6.0
1155,Rudi M. ,1000000000000,6.0,"Too busy because of the edge of the highway, difficult parking and difficult if you want to get out hit by traffic jams and a small pool.",6.0,6.0,6.0,6.0,6.0
1185,Julius P. ,1000000000000,6.0,"There is no room for smoking area, once there must be a 7th floor.",6.0,6.0,6.0,6.0,6.0
1198,Purna A. S. ,1000000000000,6.0,I ordered a single bed with a double bed.,6.0,6.0,6.0,6.0,6.0
1227,Fajar Y. ,1000000000000,6.0,"The hot water is sometimes on sometimes not, eat breakfast if you want an omlet, add 5,000.",6.0,6.0,6.0,6.0,6.0
1251,Andi Y. ,1000000000000,6.0,"Dinnerware at breakfast is always not ready, waitress also no smile, at all not in line with expectations, shower water in bathroom is not tight.",6.0,6.0,6.0,6.0,6.0
1283,Johny S. ,1000000000000,6.0,"There was a small cockroach in the room. The sofa is less well groomed, already smelly. Breakfast is less than satisfactory. The pool is too shallow, just for kids.",6.0,6.0,6.0,6.0,6.0
1294,Johny S. ,1000000000000,6.0,"The internet is nice. The pool is less than satisfactory. In the room there is a small cockroach. The sofa is less well groomed, old and smelly. Breakfast is less than satisfactory.",6.0,6.0,6.0,6.0,6.0
1319,Bambang B. ,1000000000000,6.0,"The hotel is like a boarding house and the lobby facilities are very ugly. Buffet restaurant also doesn&#39;t taste good and the place is really ugly. Swimming pool is like a fish pond is very small. Anyway, sorry about staying here.",6.0,6.0,6.0,6.0,6.0
1326,Yesi W. ,1000000000000,6.0,Breakfast time is not notified.,6.0,6.0,6.0,6.0,6.0
1329,Rahayu Y. ,1000000000000,6.0,"Narrow parking, security is not standby. service at the old breakfast table, glass cutlery often runs out the reason is still in washing. Refill food and drinks really long time. Unfriendly service. Please improve the service",6.0,6.0,6.0,6.0,6.0
1372,Nabilah N. A. ,1000000000000,6.0,The staff is less friendly and impressed indifferent.,6.0,6.0,6.0,6.0,6.0
1386,Witria W. ,1000000000000,6.0,"Spacious room, the size of the bed and the location near the beach is very satisfactory. But the breakfast is very less, from the menu system which is not a buffet, but must order the menu first, the waiters are just a little, and the variety of food yg g",6.0,6.0,6.0,6.0,6.0
1435,Nur A. ,1000000000000,6.0,The booked rooms do not match and the receptionists are indifferent.,6.0,6.0,6.0,6.0,6.0
1454,Dimas F. ,1000000000000,6.0,His ac is less cold. Swimming swimming many of his animals. the food is not complete.,6.0,6.0,6.0,6.0,6.0
1561,Mikha R. M. ,1000000000000,6.0,"On the website there is a swimming pool facility, it turns out only mini pool for children only .. room smell .. sink no hot water .. tissue stingy ..",6.0,6.0,6.0,6.0,6.0
1596,Jefria A. ,1000000000000,6.0,"The rooms are mosquitoes, the air conditioner is not cold, the breakfast is not good",6.0,6.0,6.0,6.0,6.0
1641,Eliyaty E. ,1000000000000,6.0,where u park very limited car ... service biasa2 course ... la standard room.,6.0,6.0,6.0,6.0,6.0
1826,Yohana Y. ,1000000000000,6.0,very ugly parking is hard going to the basement car security staring guns could be very unhelpful,6.0,6.0,6.0,6.0,6.0
1874,Prayoga P. E. ,1000000000000,6.0,Very dirty and the staff unfriendly,6.0,6.0,6.0,6.0,6.0
1931,Anonim,1000000000000,6.0,"Standart hotel stop, because there is no other fasilitas2",6.0,6.0,6.0,6.0,6.0
1938,Ayu W. ,1000000000000,6.0,"Hotel kurang terawat dengan baik. Ketika masuk kamar, hasil mop masih basah. Tolong lebih memperhatikan.",6.0,6.0,6.0,6.0,6.0
1977,Kadek A. S. ,1000000000000,6.0,"Pertama kali masuk hotel bingung, tidak ada security nya. Pas masuk parkir kecil. Fasilitas kamar kurang lengkap.",6.0,6.0,6.0,6.0,6.0
2241,Meli M. ,1000000000000,6.0,"The air conditioner leaked, it was hot so I couldn&#39;t sleep, the sheets were a bit dirty.",6.0,6.0,6.0,6.0,6.0
2293,Milliany M. ,1000000000000,6.0,AC is not cold enough. Already diksh know but still not cold.,6.0,6.0,6.0,6.0,6.0
2309,Gracia T. ,1000000000000,6.0,"Good location, good service, clean rooms. What is very unfortunate is that the air conditioner is not cold at all. First thought it happened to be a room with low air conditioning, desperate to stay the second time, can other rooms hope the AC is friendly",8.0,6.0,6.0,6.0,6.0
2341,Henri A. P. ,1000000000000,6.0,"I checked in around 5pm but the room wasn&#39;t ready to be told to wait in the lobby room. Even though it should be 2 o&#39;clock in the afternoon, it&#39;s time to check-in.",6.0,6.0,6.0,6.0,6.0
2405,Andika F. ,1000000000000,6.0,"The air conditioner is not cold, for the okay room I can&#39;t brush my teeth. The corridor lights are rather dark and spooky.",6.0,6.0,6.0,6.0,6.0
2494,Kamroni M. ,1000000000000,6.0,"The check-in process is long. And when I want to extend, even other guests take precedence even though I made it first. And then when I asked for the room to be cleaned until I returned from outside the room it hadn&#39;t been cleaned yet",6.0,6.0,6.0,6.0,6.0
2547,Sairin S. ,1000000000000,6.0,"Kapok and will not want to go back there, have often stay there hot air conditioning, have changed room was still hot, very, very uncomfortable, thanks.",6.0,6.0,6.0,6.0,6.0
2626,Nadya N. ,1000000000000,6.0,"Hot, acnya please check again no cold at all",6.0,6.0,6.0,6.0,6.0
2634,Gede P. Y. ,1000000000000,6.0,"Almost all the rooms are not cold acnya, already a few times stay diaini it turns out all the rooms obtained acnya do not want to cold",6.0,6.0,6.0,6.0,6.0
2643,Alambert J. H. S. ,1000000000000,6.0,"the ac is off, the inn is quiet and looks a bit dark around the elevator",8.0,6.0,6.0,6.0,6.0
2797,Lidya L. ,1000000000000,6.0,"rooms smell, especially from the bathroom, and at night as there were cursing the room door so hard that I woke up",6.0,6.0,6.0,6.0,6.0
2995,Tari T. ,1000000000000,6.0,AC rooms are not great but the food was satisfactory,6.0,6.0,6.0,6.0,6.0
3088,Irwan F. ,1000000000000,6.0,Actually tolerable only if the same price or less the same ... still surrounding,6.0,6.0,6.0,6.0,6.0
3192,Octorika S. ,1000000000000,6.0,Berisik banget di kamar suara dengung-dengungan.,6.0,6.0,6.0,6.0,6.0
3251,Blesscha A. S. ,1000000000000,6.0,"Very drinking water is given. I ordered 1 room for 3 people because it was added extrabed. The breakfast is good, using fried rice. Then the closet evaporated to become a smell, on the bed there was a curse ðŸ˜¢",6.0,6.0,6.0,6.0,6.0
3252,Henry S. ,1000000000000,6.0,"There is no elevator, the stairs are too high for parents. Conditions do not match the photo.",6.0,6.0,6.0,6.0,6.0
3435,Prima M. O. M. ,1000000000000,6.0,Almost all pictures in app were different with reality. Some parts of the hotel need to be renovated. Foods also not varied for a 4 star hotel. The only good thing about the hotel is the swimming pool.,6.0,6.0,6.0,6.0,6.0
3483,Achmad F. ,1000000000000,6.0,I can only enter check-in on 31 dec 2018 at 3:20 p.m. my room 1308,6.0,6.0,6.0,6.0,6.0
3732,Lian M. A. ,1000000000000,6.0,"Room is not clean, happened yesterday yesterday the premier view pool, the glass is dirt so I want the photos to be less attractive, the room is cleaned 2x but the towel is not given (must be requested). The least is the breakfast, not tasty",6.0,6.0,6.0,6.0,6.0
3740,Christine A. S. ,1000000000000,6.0,Rooms are not soundproof. So there are people walking and screaming still hear. Smelly bathroom. AC leak.,6.0,6.0,6.0,6.0,6.0
3759,Dewa A. F. N. ,1000000000000,6.0,"The rooms are too damp, the breakfast is slightly tasteless.",6.0,6.0,6.0,6.0,6.0
3906,Viadiaz M. S. ,1000000000000,6.0,Sofa yang di foto deluxe room itu tidak ada. Menurut receptionis paragon itu foto kamar kelas di atas deluxe. Kami sangat kecewa! Karena sofa itu penting bagi kami!,6.0,6.0,6.0,6.0,6.0
3946,Cindy C. A. ,1000000000000,6.0,"AC gak dingin, limited choice of breakfast, no balcony for smokers, kamar tidur kecil, but they have good hospitality from the staffs and great location",6.0,6.0,6.0,6.0,6.0
4015,Anton G. ,1000000000000,6.0,Canâ€™t say awesome becoz is not up to that. Just find small room with wall view balcony. Thatâ€™s what I got. Breakfast so so. But at least the staff is friendly and helpful.,6.0,6.0,6.0,6.0,6.0
4066,Gerry P. S. ,1000000000000,6.0,Good location but the breakfast taste is plain and there are no smooking room.,6.0,6.0,6.0,6.0,6.0
4142,Ariawan B. ,1000000000000,6.0,the breakfast menu is less interesting and less varied. the cuisine is salty,6.0,6.0,6.0,6.0,6.0
4253,Reza R. ,1000000000000,6.0,"the room is not quite clean. unfortunately, i left my jacket when checking out but the staff bit not inform anything",6.0,6.0,6.0,6.0,6.0
4505,Triyadiana N. ,1000000000000,6.0,"Dirtyâ€¦ not clean, cramped rooms. Not worth the price.",6.0,6.0,6.0,6.0,6.0
4522,Silvita K. ,1000000000000,6.0,"The lights went out and the hotel didn't tell us while we were in the baseman, it was really dark, we panicked about cleaning up our stuff with fear, a very unpleasant experience.",6.0,6.0,6.0,6.0,6.0
4530,Andre R. F. M. ,1000000000000,6.0,"empty guests and hotel staff are also only a few who serve, staying overnight too afraid because there are only 3 rooms filled",6.0,6.0,6.0,6.0,6.0
4550,Vicky A. A. ,1000000000000,6.0,Too lonely and like haunted.,6.0,6.0,6.0,6.0,6.0
4551,Rhesa P. R. ,1000000000000,6.0,"The room is like a bank, it is under the Kutabenya building. stuffy really uncomfortable.",6.0,6.0,6.0,6.0,6.0
4617,Lian W. ,1000000000000,6.0,"The only thing that's okay is the location. The hotel is old, bed linen and towels are really worn out, the AC remote is broken, the thin walls are very noisy.",4.0,6.0,6.0,6.0,6.0
4633,Anastasia M. F. ,1000000000000,6.0,Staff is not helpfull. The bathroom is less clean and narrow. No toothbrush provided.,6.0,6.0,6.0,6.0,6.0
4722,Linda L. ,1000000000000,6.0,"Aside from the other strategic places, it was not fun when the luggage was lifted to the lobby, when I checked out the 30 minute bell boy arrived.",6.0,6.0,6.0,6.0,6.0
4773,Kritsana E. ,1000000000000,6.0,"Is the scene of that going to massage under the hotel And the employee thinks wrong Then at night, sit and eat beer, a bar in front of the hotel, then go to the bathroom in the room itself. And the room is locked So I walked to ask the receptionist. Said ",6.0,6.0,6.0,6.0,6.0
4795,Parluhutan P. ,1000000000000,6.0,"The room, the sheets are dull, the bathroom door can&#39;t be closed perfectly, it seems the hotel is old huh.",6.0,6.0,6.0,6.0,6.0
4929,Yati W. ,1000000000000,6.0,There are some that make me disappointed to stay at Kutabenya. 1. Bathroom smells to the room. 2. Hot water is there but have to wait a few minutes.,6.0,6.0,6.0,6.0,6.0
4987,Erma R. ,1000000000000,6.0,"The service is okay, the facilities are less than satisfactory and the order is not as expected. Thanks.",6.0,6.0,6.0,6.0,6.0
5008,Serli B. S. ,1000000000000,6.0,"The room has no sea view, but for breakfast the view of Kuta beach is extraordinarily beautiful and on check-out the staff takes a long time to check the room so we wait for quite a long time in the hotel lobby",6.0,6.0,6.0,6.0,6.0
5020,Tan N. S. ,1000000000000,6.0,You can stay overnight in the besmen room.,6.0,6.0,6.0,6.0,6.0
5022,Adde A. R. ,1000000000000,6.0,"Rooms on the LG floor are not facing the beach, breakfast is limited, come at 9.55 and are told to eat until 10:00 only 5 minutes, not past 10:00.00, swimming pool on the 4th floor small and facilities such as billiards will be charged again per hour 50 t",6.0,6.0,6.0,6.0,6.0
5093,Stefanus K. A. A. ,1000000000000,6.0,The plus points are only strategic locations ... More no comment,6.0,6.0,6.0,6.0,6.0
625,Hendri W. ,1000000000000,6.5,The price is not worth the satisfaction,4.0,6.5,6.5,6.5,6.5
1119,Yuyu Y. ,1000000000000,6.5,"The menu is lacking food, a small parking space, small bathroom water.",10.0,6.5,6.5,6.5,6.5
2249,Annisa I. ,1000000000000,6.5,"The toilet toilet seat wc did not work, the room lights were too dim, the floor was a bit sticky, the day changed but toiletries were not provided (shampoo and soap), the sound from outside the hall was heard enough into the room ...",8.0,6.5,6.5,6.5,6.5
3477,Oktavia R. ,1000000000000,6.5,"Bad experience. I waited too long to check in, the person at the reception is unpleasant.",8.0,6.5,6.5,6.5,6.5
4006,Val C. V. ,1000000000000,6.5,"Accessibility is great. Staff are friendly. Unfortunately the room we got, AC was not cold. Also, during breakfast I did try to order bacon but they don't have.",10.0,6.5,6.5,6.5,6.5
4803,Juan G. S. ,1000000000000,6.5,"Deluxe Room, only 2 beds combined into 1 bed. His sleep is a bit difficult too.",8.0,6.5,6.5,6.5,6.5
4833,Mezfi M. ,1000000000000,6.5,"Minus: front officer is less freindly, too stiff, hot water in the bathroom is not maximal, tv broadcast is broken, air is stuffy and AC is not cold",8.0,6.5,6.5,6.5,6.5
4865,Soni N. ,1000000000000,6.5,"When the room is turned off, there is a problem that is no longer burning, so the room is moved to join the others, no new rooms are replaced.",8.0,6.5,6.5,6.5,6.5
5036,Sugiarto P. ,1000000000000,6.5,"Does not match the review picture. Got the most innermost room, the gravel view too, disappointed because it didn&#39;t match the picture, about the food okay, about the service okay, just disappointed about the view and got the far end room to go far.",8.0,6.5,6.5,6.5,6.5
371,Miftah A. ,1000000000000,7.0,So far so good. I'd like to come back next time.,8.0,7.0,7.0,7.0,7.0
421,Hermanto H. ,1000000000000,7.0,"Drinking water in the room is only prepared once to fill the gallon outside the room, but sometimes the water is empty.",10.0,7.0,7.0,7.0,7.0
615,Jie W. ,1000000000000,7.0,"Clean, comfortable and easy to reach location",8.0,7.0,7.0,7.0,7.0
797,Nina W. ,1000000000000,7.0,"Very good service and hope that consistent, bravo Harris hotels",7.0,7.0,7.0,7.0,7.0
1686,Kartika K. ,1000000000000,7.0,"Convenient for clean and quiet, friendly service.",8.0,7.0,7.0,7.0,7.0
1775,Sri H. W. ,1000000000000,7.0,"Check-in was easy, clean rooms, but the rooms are not too big, less varied food menu. The layout of the pool adjoining the dining room, where parking is less convenient.",8.0,7.0,7.0,7.0,7.0
1795,Imam F. ,1000000000000,7.0,"There are items that have not been prepared when the customer enters, but overall enjoyable",8.0,7.0,7.0,7.0,7.0
1824,Iqbal T. P. ,1000000000000,7.0,Pretty good. Everything is OK deh,8.0,7.0,7.0,7.0,7.0
1920,Anonim,1000000000000,7.0,Inadequate parking space large enough room hotel building is thin so noise from outside sounds obvious,5.0,7.0,7.0,7.0,7.0
2483,Tissa N. D. ,1000000000000,7.0,"The room was comfortable and clean, the service was friendly but when the night was a bit noisy either the workers or something so disturbed my sleep.",10.0,7.0,7.0,7.0,7.0
2976,Suarno A. ,1000000000000,7.0,"The service is quite good, the location is quite strategic, less parking area only.",8.0,7.0,7.0,7.0,7.0
3041,Ferry S. ,1000000000000,7.0,Its AC please reversible,8.0,7.0,7.0,7.0,7.0
4296,Herdinan H. ,1000000000000,7.0,"Great hospitality but the room was not that good, I found 2 cockroach in my room and that makes the holiday bad",6.0,7.0,7.0,7.0,7.0
4371,Wijiastuti N. ,1000000000000,7.0,they gave 1 key only for 1 room. bathroom not clean.,8.0,7.0,7.0,7.0,7.0
4641,Andy D. ,1000000000000,7.5,Not according to the other pool view application is pretty good.,10.0,7.5,7.5,7.5,7.5
3165,Fenny F. ,1000000000000,8.0,Overall nice except water drain clogged.,8.0,8.0,8.0,8.0,8.0
8,Intan A. R. ,1000000000000,8.5,Very good location. Quiet. The rooms are also nice and clean. One with nature.,8.0,8.5,8.5,8.5,8.5
24,Julianti P. A. ,1000000000000,8.5,"Nice place, good service. Only the vehicle parking lot is steep",8.0,8.5,8.5,8.5,8.5
26,Kadek U. K. D. ,1000000000000,8.5,Very good service and nice garden.,8.0,8.5,8.5,8.5,8.5
169,Vanny L. ,1000000000000,8.5,Poor service receptionist less polite to local guests,8.0,8.5,8.5,8.5,8.5
191,Made A. K. D. ,1000000000000,8.5,"Room was OK. Breakfast was in complete set (toast, omelette, orange juice) for a descent price. Recommended to stay. Thank you!",8.0,8.5,8.5,8.5,8.5
217,Budiman B. ,1000000000000,8.5,Location not near everywhere. Have to take taxi. Breakfast also so so. Not a lot of choice. Bed is comfortable.,8.0,8.5,8.5,8.5,8.5
270,Hasan H. ,1000000000000,8.5,"Great location, very near to Seminyak's hype restaurants and clubs, staff were nice and they serve good breakfast.",8.0,8.5,8.5,8.5,8.5
272,Stephen O. ,1000000000000,8.5,"Overall, it was great experiences to stay at Harris Seminyak Hotel. The staff are friendly.. good place to stay in Bali",8.0,8.5,8.5,8.5,8.5
299,Desril A. L. E. ,1000000000000,8.5,"The hotel is good place to stay, food I good and the staff also good",8.0,8.5,8.5,8.5,8.5
304,Juventus A. ,1000000000000,8.5,"Hospitality is everything when it comes to hotel, and the staffs there just gave me nothing but a very nice hospitality and service, keep it up guys!",8.0,8.5,8.5,8.5,8.5
310,Felix Y. ,1000000000000,8.5,"I booked through traveloka by the last second I arrived there. Luckily, I got upgraded to the room with pool access (it was obviously more spacious than the one I booked). Even though the room was clean and tidy, there was a kind of old room foul smell (i",8.0,8.5,8.5,8.5,8.5
316,Edric C. ,1000000000000,8.5,"Not as good as Harris Malang / Bandung, but it's a great experience. All the Harris was friendly ",8.0,8.5,8.5,8.5,8.5
344,Herwin S. S. ,1000000000000,8.5,the swimming pool was too small not deep enough,8.0,8.5,8.5,8.5,8.5
350,Jeane S. M. ,1000000000000,8.5,"Good location, clean and friendly.",8.0,8.5,8.5,8.5,8.5
365,Welly T. ,1000000000000,8.5,"Good services, good food and good price.",8.0,8.5,8.5,8.5,8.5
382,Setiawan G. ,1000000000000,8.5,So far so good and next time must be better,8.0,8.5,8.5,8.5,8.5
412,Sutisno A. ,1000000000000,8.5,The hotel is comfortable and the room is pretty spacy.,8.0,8.5,8.5,8.5,8.5
446,Fatmaningsih F. ,1000000000000,8.5,"OK price. Given an upgrade to the pool in front of the room. So the kids can swim right away. Service is okay, ask for additional pillows.",8.0,8.5,8.5,8.5,8.5
451,Pristian D. K. ,1000000000000,8.5,during the pandemic there were not many guests ... but it was fun,8.0,8.5,8.5,8.5,8.5
458,Sabar M. ,1000000000000,8.5,"The hotel is in the Seminyak area, the location is convenient not too crowded by passing vehicles, just a bit far from the center of the crowd.",8.0,8.5,8.5,8.5,8.5
478,Restika P. ,1000000000000,8.5,Strategic place and friendly staff.,8.0,8.5,8.5,8.5,8.5
506,Chresbert H. ,1000000000000,8.5,The room is nice and clean. The location of the front of the hotel is not so crowded suitable for families. Only for a difficult grab pick up because there is something that forbids grab entry.,8.0,8.5,8.5,8.5,8.5
518,M A. Y. ,1000000000000,8.5,"My experience of staying here was very pleasant, all hotel attendants always helped all my needs and were satisfied with everything.",8.0,8.5,8.5,8.5,8.5
536,Jane G. ,1000000000000,8.5,"A short holiday when saturated works, this is a comfortable hotel, close enough to the crowds, welcome drink and free pizza as well as delivery of bunggi car to aya / pantai, grateful wood, next time we will stay again ..",8.0,8.5,8.5,8.5,8.5
584,Mai K. ,1000000000000,8.5,the room is nice clean ... the mattress is comfortable and soft .. so far so good .. no nyesel stay in harris ..,8.0,8.5,8.5,8.5,8.5
599,Teddy T. ,1000000000000,8.5,"Clean, comfortable, friendly and good breakfast",8.0,8.5,8.5,8.5,8.5
660,Ilham I. ,1000000000000,8.5,"Quite good and comfortable hotel, away from the noise.",8.0,8.5,8.5,8.5,8.5
670,Otto Y. ,1000000000000,8.5,"Nice, comfortable, quiet and service ok",8.0,8.5,8.5,8.5,8.5
678,Theresia V. M. ,1000000000000,8.5,"Nice hotel, the access to the beach with a free shuttle every hour, and there are facilities for children as well as kids pool and a kids corner.",8.0,8.5,8.5,8.5,8.5
737,Leo A. ,1000000000000,8.5,Service check-in please continue to be improved,8.0,8.5,8.5,8.5,8.5
743,Melly M. P. ,1000000000000,8.5,"Good one, big room, his staff ramah2. Only it was because we were on the 2nd floor may sound disturbing bener2 vehicle fitting recess.",8.0,8.5,8.5,8.5,8.5
746,Agoosh Y. ,1000000000000,8.5,"The road to the location of the hotel is rather annoying, especially at peak time when the New Year&#39;s holiday. but overall quite recommended hotel harris",8.0,8.5,8.5,8.5,8.5
748,Senni A. ,1000000000000,8.5,"Everything is ok, just a very small bed",8.0,8.5,8.5,8.5,8.5
773,Irfan Z. A. M. ,1000000000000,8.5,Access to the nearby beach clean comfortable room not only to order so far so good,8.0,8.5,8.5,8.5,8.5
775,Widia P. S. ,1000000000000,8.5,Fun and pastinak back again ksna,8.0,8.5,8.5,8.5,8.5
779,Tio F. K. ,1000000000000,8.5,Overall pleasant except response to several requests sometimes a bit slow.,8.0,8.5,8.5,8.5,8.5
780,Susan P. ,1000000000000,8.5,"Nice, clean and friendly. we will cr harris hotel again jk to bali",8.0,8.5,8.5,8.5,8.5
782,Rosiana A. ,1000000000000,8.5,Nice hotel. A bit far from the beach but offered buggy car to the beach.,8.0,8.5,8.5,8.5,8.5
786,Eban S. ,1000000000000,8.5,Comfortable immaculately clean at an affordable price,8.0,8.5,8.5,8.5,8.5
794,Hendra S. ,1000000000000,8.5,Clean and comfortable for families. Only the diet needs to be varied.,8.0,8.5,8.5,8.5,8.5
808,Tommy T. ,1000000000000,8.5,"Clean room, good view, thanks a lot",8.0,8.5,8.5,8.5,8.5
842,Kiky N. ,1000000000000,8.5,"I booked Ayola Bali Jimbaran during my wedding event. And Ms Widia truly help me and surprise me. She upgrade my room to executives room. And truly generous, give me reschedule date for another room, for my parents in law. During the Papuaâ€™s chaos, so t",8.0,8.5,8.5,8.5,8.5
859,Wira S. D. A. K. ,1000000000000,8.5,"Nice and clean. Breakfast cold, service ok. Overall not bad.",8.0,8.5,8.5,8.5,8.5
884,Khairil A. ,1000000000000,8.5,Stayed there for 3 nights. Room size is OK with nice spartan deco. Good bed and pillows plus plush towels not usually found of hotels of this rating. Will return again when in Bali next.,8.0,8.5,8.5,8.5,8.5
893,Steven T. ,1000000000000,8.5,"Felt so pleasant staying at Horison Jimbaran Hotel, simple, nice and comfortable.",8.0,8.5,8.5,8.5,8.5
935,Hermis H. ,1000000000000,8.5,Itâ€™s great for a budget hotel. The room is very nice n comfortable. Good job. ,8.0,8.5,8.5,8.5,8.5
938,Sinar A. ,1000000000000,8.5,"The breakfast is excellent,
any other things is standard worth the price",8.0,8.5,8.5,8.5,8.5
1009,Hendro S. ,1000000000000,8.5,Good room and cozy place.,8.0,8.5,8.5,8.5,8.5
1049,Erwanto E. ,1000000000000,8.5,Nice and easy to access to anywhere.,8.0,8.5,8.5,8.5,8.5
1060,Syariffuji S. ,1000000000000,8.5,"Comfort, clean and nice place,",8.0,8.5,8.5,8.5,8.5
1068,Arthur A. ,1000000000000,8.5,"Quite clean, only parking is lacking, sometimes you have to park on the side of the road.",8.0,8.5,8.5,8.5,8.5
1099,Komang E. A. ,1000000000000,8.5,"I like the hotel model, just a little lack of maintenance. The public part of the area.",8.0,8.5,8.5,8.5,8.5
1104,Ega P. M. ,1000000000000,8.5,"The hotel is clean, comfortable, it's just that at night when returning to the hotel one floor there are no lights so it looks scary there should still be lights so it is not pitch dark.",8.0,8.5,8.5,8.5,8.5
1121,Emy F. ,1000000000000,8.5,"The place is suitable as shown, friendly employees.",8.0,8.5,8.5,8.5,8.5
1146,Silvi S. ,1000000000000,8.5,Clean rooms. the indoor pool is really for small children. Close to food outlets.,8.0,8.5,8.5,8.5,8.5
